,username,retweet,Like,Reply
35,Eljaboom,67.53465270996094,162.5841522216797,29.633663177490234
36,MaryfoxCrypto,63.158416748046875,233.5742645263672,10.0
37,MXC_Exchange,62.841583251953125,190.40594482421875,27.74257469177246
38,BurencyOfficial,62.07920837402344,119.9802017211914,51.58415985107422
39,Bloqport,61.178218841552734,285.0989990234375,9.1386137008667
40,davidgokhshtein,61.158416748046875,438.32672119140625,112.5445556640625
41,CryptoAdventure,60.52475357055664,66.11881256103516,1.6732673645019531
42,swissborg,59.346534729003906,306.5445556640625,72.53465270996094
43,AltcoinDailyio,58.970298767089844,622.9207763671875,61.92079162597656
44,bitcoin_qr,58.58415985107422,61.78217697143555,79.11881256103516
45,coinbureau,58.29703140258789,550.2574462890625,44.87128829956055
46,CoinDesk,57.83168411254883,235.68316650390625,25.24752426147461
47,holo_fuel,56.910892486572266,167.33663940429688,5.920792102813721
48,syscoin,56.26732635498047,115.2574234008789,8.198019981384277
49,barstoolsports,56.24752426147461,907.2772216796875,36.801979064941406
50,jimmysong,53.78217697143555,470.87127685546875,32.3564338684082
51,krakenfx,52.29703140258789,256.22772216796875,47.28712844848633
52,CryptoMichNL,52.03960418701172,628.1188354492188,110.60395812988281
53,JRNYcrypto,51.77227783203125,814.445556640625,63.0
54,Investingcom,51.39603805541992,266.22772216796875,16.81188201904297
55,BTCTN,51.108909606933594,196.01980590820312,30.485149383544922
56,Enparalelovzla_,50.861385345458984,68.33663177490234,2.3465347290039062
57,NorthmanTrader,50.07920837402344,399.12872314453125,34.821781158447266
58,PetroDivisa,49.74257278442383,47.32673263549805,9.445544242858887
59,freebitco,49.118812561035156,194.3267364501953,37.0098991394043
60,Techconcatalina,49.01980209350586,334.03961181640625,25.930692672729492
61,constancegives,47.336631774902344,27.26732635498047,23.475248336791992
62,Dehkunle,46.4455451965332,319.8118896484375,14.970296859741211
63,Quicktake,46.0,132.53465270996094,8.336633682250977
64,btc,45.0990104675293,175.4257354736328,9.99009895324707
65,Travis_Kling,44.336631774902344,289.77227783203125,11.831683158874512
66,WClementeIII,43.43564224243164,357.3465270996094,14.247525215148926
67,jdiyield,43.19230651855469,70.61538696289062,44.5
68,ICOAffiliates,43.158416748046875,38.51485061645508,23.287128448486328
69,crypto,42.910892486572266,132.61386108398438,20.20792007446289
70,BitSler,42.79207992553711,22.396039962768555,15.643564224243164
71,Negentropic_,42.336631774902344,200.35643005371094,9.326732635498047
72,SwapMarshmallow,42.32558059692383,78.39534759521484,44.16279220581055
73,SHiLLNAAUTS,41.75,80.0,35.25
74,lopp,40.32673263549805,330.445556640625,18.04950523376465
75,PeterSchiff,39.5445556640625,444.910888671875,110.47525024414062
76,cryptoastblog,38.9901008605957,120.78218078613281,16.673267364501953
77,cryptorecruitr,38.72277069091797,498.3564453125,26.069307327270508
78,maxkeiser,38.0098991394043,330.5247497558594,26.930692672729492
79,NovaECaldwell1,37.82857131958008,152.2857208251953,190.60000610351562
80,cryptoBaddiee,37.50495147705078,216.68316650390625,19.584157943725586
81,iSlimfit,36.663368225097656,109.70297241210938,13.88118839263916
82,EToprakCHP,36.425743103027344,202.99009704589844,3.386138677597046
83,CoinMarketCap,35.68316650390625,193.910888671875,124.09900665283203
84,real_vijay,35.574256896972656,415.9703063964844,17.386138916015625
85,CryptoNewton,33.87128829956055,296.5148620605469,18.653465270996094
86,rektcapital,33.87128829956055,237.95050048828125,9.287128448486328
87,_ErkanOz,33.613861083984375,436.7524719238281,33.653465270996094
88,Tokocrypto,32.9901008605957,105.35643768310547,20.02970314025879
89,hiakkaya,31.940593719482422,208.15841674804688,6.099009990692139
90,GoldTelegraph_,31.297029495239258,167.84158325195312,16.04950523376465
91,XBTS_EXCHANGE,30.405941009521484,20.79207992553711,2.148514747619629
92,ChartsBtc,30.108911514282227,153.6039581298828,5.673267364501953
93,alistairmilne,29.75247573852539,276.3465270996094,16.81188201904297
94,Diamondholders,29.66666603088379,34.33333206176758,1.5833333730697632
95,TheCryptoLark,28.851484298706055,346.87127685546875,20.079208374023438
