,Trend,Retweet,Like,Reply,Start Time
866,#pbt,-11.881188116967678,-13.198019742965698,-2.376237630844116,2021-04-25 20:38:40+00:00
867,#trx,-11.93069314956665,-55.74257469177246,-7.633663177490234,2021-04-25 00:00:07+00:00
868,#tron,-11.93069314956665,-55.74257469177246,-7.633663177490234,2021-04-25 08:55:36+00:00
869,#tronnetwork,-11.93069314956665,-55.74257469177246,-7.633663177490234,2021-04-25 15:49:11+00:00
870,#tronics,-11.93069314956665,-55.74257469177246,-7.633663177490234,2021-04-25 15:49:11+00:00
871,#telos,-12.0,-17.693069458007812,0.7623762488365173,2021-04-25 11:46:29+00:00
872,#areax,-12.0,-17.693069458007812,0.7623762488365173,2021-04-25 11:46:29+00:00
873,#bounty,-12.029703140258789,-22.96039581298828,-7.891088962554932,2021-04-25 12:13:53+00:00
874,#sale,-12.029703140258789,-22.96039581298828,-7.891088962554932,2021-04-25 12:13:53+00:00
875,#uniswapfinance,-12.029703140258789,-22.96039581298828,-7.891088962554932,2021-04-25 12:13:53+00:00
876,#unfi,-12.029703140258789,-22.96039581298828,-7.891088962554932,2021-04-25 12:13:53+00:00
877,#frontend,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 05:41:56+00:00
878,#promo,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 05:41:56+00:00
879,#html,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 05:41:56+00:00
880,#webdeveloper,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 06:01:56+00:00
881,#coder,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 04:40:41+00:00
882,#java,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 06:01:56+00:00
883,#serverless,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 09:34:57+00:00
884,#datascientist,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 05:46:56+00:00
885,#jayshreeram,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 09:34:57+00:00
886,#tfatws,-12.03960394859314,-6.5742573738098145,0.11881188303232193,2021-04-25 09:34:57+00:00
887,#total2,-12.148514747619629,-68.24749755859375,5.841583251953125,2021-04-25 10:19:39+00:00
888,#devapartisi,-12.257425785064697,-67.2772274017334,0.8316831588745117,2021-04-25 13:58:35+00:00
889,#algofam,-12.277227699756622,-39.8613862991333,0.8415841460227966,2021-04-25 17:38:46+00:00
890,#pancakeswap,-12.277227878570557,-26.168315887451172,-6.653465390205383,2021-04-25 00:11:03+00:00
891,#scamcoin,-12.277227878570557,-26.168315887451172,-6.653465390205383,2021-04-25 00:11:03+00:00
892,#pancakeswapv2,-12.277227878570557,-26.168315887451172,-6.653465390205383,2021-04-25 00:11:03+00:00
893,#pundix,-12.415841579437256,-37.09900951385498,-16.247524738311768,2021-04-25 22:13:15+00:00
894,#cryptocurrencies,-12.55555534362793,-25.88888931274414,-2.333333373069763,2021-04-25 04:51:15+00:00
895,#doghousecoin,-12.55555534362793,-25.88888931274414,-2.333333373069763,2021-04-25 20:59:42+00:00
896,#dsc,-12.55555534362793,-25.88888931274414,-2.333333373069763,2021-04-25 20:59:42+00:00
897,#doghouseswap,-12.55555534362793,-25.88888931274414,-2.333333373069763,2021-04-25 20:59:42+00:00
898,#safebtc,-12.693877547979355,-16.755102038383484,-3.7142857015132904,2021-04-25 06:40:09+00:00
899,#safebitcoin,-12.693877547979355,-16.755102038383484,-3.7142857015132904,2021-04-25 19:04:24+00:00
900,#bitcointurkiye,-12.910890579223633,-3.2574234008789062,1.762376308441162,2021-04-25 13:44:30+00:00
901,#holocoin,-12.96039605140686,-30.633663177490234,1.5445544719696045,2021-04-25 06:08:04+00:00
902,#thodex,-13.514851570129395,-90.13861083984375,1.534653663635254,2021-04-25 01:12:01+00:00
903,#sistemcoin,-13.514851570129395,-90.13861083984375,1.534653663635254,2021-04-25 08:15:09+00:00
904,#goldexcoin,-13.514851570129395,-90.13861083984375,1.534653663635254,2021-04-25 08:15:09+00:00
905,#shibainu,-13.863636016845703,-31.59090805053711,-5.7272725105285645,2021-04-25 06:08:04+00:00
906,#bshiba,-13.863636016845703,-31.59090805053711,-5.7272725105285645,2021-04-25 20:54:16+00:00
907,#dsla,-14.4375,-9.0,0.09375,2021-04-25 02:08:44+00:00
908,#moon,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
909,#spacex,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
910,#starlink,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
911,#space,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
912,#mars,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
913,#samsung,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
914,#cryptocurrenices,-14.44554454088211,-18.07920789718628,-2.920792080461979,2021-04-25 10:49:39+00:00
915,#sopr,-14.504950523376465,-195.2079200744629,-3.524752378463745,2021-04-25 12:58:51+00:00
916,#deprem,-15.06930685043335,-41.24752426147461,0.02970290184020996,2021-04-25 14:10:05+00:00
917,#akrepdolunayı,-15.06930685043335,-41.24752426147461,0.02970290184020996,2021-04-25 14:10:05+00:00
918,#metrix,-15.158416748046875,-34.67326736450195,-6.5445544719696045,2021-04-25 04:49:56+00:00
919,#giveaway,-15.356435537338257,-17.83168315887451,-10.435643553733826,2021-04-25 00:00:07+00:00
920,#smartcities,-15.376237392425537,-13.257425308227539,0.3861386179924011,2021-04-25 00:50:00+00:00
921,#ehealth,-15.376237392425537,-13.257425308227539,0.3861386179924011,2021-04-25 00:50:00+00:00
922,#esg,-15.376237392425537,-13.257425308227539,0.3861386179924011,2021-04-25 00:50:00+00:00
923,#sdgs,-15.376237392425537,-13.257425308227539,0.3861386179924011,2021-04-25 00:50:00+00:00
